prompt_injection,privacy_leakage,hallucination,unsafe_output,format_reliability,latency,bias,over_refusal,jailbreak,data_exfiltration,risk_score
1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,53
0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,0.0,60
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,72
0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,52
0.5,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.0,0.0,56
0.0,1.0,0.0,1.0,0.5,0.0,0.0,1.0,0.5,0.0,62
1.0,1.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,84
0.5,0.5,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.5,73
1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,73
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,72
0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,81
0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,25
1.0,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,42
0.5,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,62
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,55
0.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,40
0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.0,44
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,69
0.5,0.5,0.0,0.5,0.5,0.5,0.0,1.0,0.0,0.5,57
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,56
0.0,1.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,57
0.5,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,72
0.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,60
1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,70
0.5,1.0,1.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,69
1.0,1.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,86
0.0,0.5,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.0,43
0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,37
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,46
1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,65
0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.0,0.5,76
1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,61
0.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,55
0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,70
0.0,0.5,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,52
1.0,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,73
0.5,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,65
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.0,95
0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,70
0.5,0.0,1.0,1.0,0.5,1.0,0.5,1.0,0.0,0.0,73
0.0,1.0,0.5,1.0,1.0,1.0,0.0,0.5,0.0,0.0,68
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,99
0.5,0.5,0.0,0.5,0.0,0.5,1.0,1.0,0.0,0.5,66
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,43
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42
0.5,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58
0.0,0.5,1.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,52
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57
0.5,1.0,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.0,79
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,75
0.0,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.0,0.0,58
0.5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,53
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,61
1.0,1.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,86
0.5,0.5,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.5,77
1.0,0.0,0.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,70
0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,75
0.5,1.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,78
0.0,0.5,0.0,0.0,1.0,0.5,1.0,1.0,0.0,0.0,47
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,64
0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.0,69
1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,72
0.0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,57
0.5,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,58
0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,66
1.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,0.0,79
0.5,0.5,0.0,0.5,1.0,0.5,0.5,1.0,0.0,0.5,70
1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0,0.0,68
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,72
0.5,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,81
0.0,0.5,0.5,1.0,1.0,0.0,1.0,0.5,0.5,0.0,75
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,87
0.5,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,86
1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,100
0.0,0.5,0.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,42
0.5,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.0,0.0,41
0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,49
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,69
0.5,0.5,1.0,0.5,0.0,1.0,1.0,1.0,0.0,0.5,84
1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,65
0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.0,52
0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,0.0,89
0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,56
1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,70
0.5,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,0.0,62
1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,96
0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,74
0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,75
0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.0,0.0,88
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,100
